Bezirk,2000,Anteil
City,1128,12
Westfalenhalle,1270,9
Dorstfelder Bruecke,1564,13
Dorstfeld,1566,10
Hafen,2007,12
Nordmarkt,3150,12
Borsigplatz,1550,13
Kaiserbrunnen,2157,9
Westfalendamm,1044,6
Ruhrallee,1098,9
Brechten,576,6
Eving,1840,9
Holthausen,32,7
Lindenhorst,485,10
Derne,584,9
Hostedde,186,8
Kirchderne,264,7
Kurl-Husen,542,8
Lanstrop,423,8
Alt-Scharnhorst,761,9
Scharnhorst-Ost,1470,11
Asseln,695,8
Brackel,1611,7
Wambel,436,6
Wickede,1362,8
Aplerbeck,1652,7
Berghofen,827,7
Schueren,682,8
Soelde,458,7
Soelderholz,353,6
Benninghofen,583,7
Hacheney,117,7
Hoerde,2343,10
Holzen,598,7
Syburg,74,5
Wellinghofen,382,6
Wichlinghofen,132,5
Barop,700,9
Bittermark,135,6
Bruenninghausen,225,6
Eichlinghofen,1827,23
Hombruch,1057,9
Persebeck-Kruckel-Schnee,220,6
Kirchhoerde-Luettringhausen,657,7
Rombergpark-Luecklemberg,280,5
Menglinghausen,170,7
Boevinghausen,553,9
Kley,230,6
Luetgendortmund,1980,9
Marten,897,9
Oespel,538,12
Westrich,207,8
Deusen,181,9
Huckarde,1543,9
Jungferntal-Rahm,514,7
Kirchlinde,899,8
Bodelschwingh,554,8
Mengede,901,8
Nette,536,8
Oestrich,519,9
Schwieringhausen,56,7
Westerfilde,700,9
